X,Y
0.5700000000000012,[1.15695e-07]
0.5800000000000012,[-1.90379e-07]
0.5900000000000012,[1.39887e-07]
0.6000000000000012,[-2.8539e-08]
0.6100000000000012,[-1.0003e-07]
0.6200000000000012,[1.79376e-07]
0.6300000000000012,[-1.76186e-07]
0.6400000000000012,[1.00716e-07]
0.6500000000000012,[5.2297e-08]
0.6600000000000013,[-1.66243e-07]
0.6700000000000013,[1.88053e-07]
0.6800000000000013,[-1.21765e-07]
0.6900000000000013,[5.414e-09]
0.7000000000000013,[1.17274e-07]
0.7100000000000013,[1.76525e-07]
0.7200000000000013,[-7.353e-08]
0.7300000000000013,[-7.9826e-08]
0.7400000000000013,[1.80107e-07]
0.7500000000000013,[-1.66498e-07]
0.7600000000000013,[4.1877e-08]
0.7700000000000014,[1.10605e-07]
0.7800000000000014,[-1.87583e-07]
0.7900000000000014,[1.59823e-07]
